Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2862,2,11,2007,106,84,35,37,84,3,18.2,80,1.03,86
2863,3,11,2007,86,106,28,41,86,5,14.8,85,0.63,58
2864,4,11,2007,58,86,33,44,76,10,15.5,86,1.49,47
2865,5,11,2007,47,58,20,29,101,7,13.8,52,1.92,46
2866,6,11,2007,46,47,21,27,96,10,12.2,50,1.2,68
2867,7,11,2007,68,46,31,34,112,26,11.9,53,0.96,90
2868,8,11,2007,90,68,60,57,108,39,11.2,53,0.62,63
2869,9,11,2007,63,90,52,44,98,23,13.8,56,1.21,61
2870,10,11,2007,61,63,36,41,95,13,10.5,62,3.27,43
2871,11,11,2007,43,61,36,36,104,24,11.1,46,0.83,79
2872,12,11,2007,79,43,69,53,116,22,12.8,64,1.73,53
2873,13,11,2007,53,79,28,37,110,30,9.7,42,1.06,103
2874,14,11,2007,103,53,62,60,92,30,9.1,85,0.74,126
2875,15,11,2007,126,103,92,73,102,29,12.8,84,0.53,113
2876,16,11,2007,113,126,85,72,99,27,14.6,83,,73
2877,17,11,2007,73,113,46,52,83,14,14.4,93,,56
2878,18,11,2007,56,73,17,36,95,13,14.1,79,,81
2879,19,11,2007,81,56,15,39,98,8,9.2,65,0.75,82
2880,20,11,2007,82,81,21,52,109,17,9.7,58,0.88,130
2881,21,11,2007,130,82,88,80,109,43,10.4,67,0.65,139
2882,22,11,2007,139,130,88,85,103,29,11.5,79,0.62,118
2883,23,11,2007,118,139,104,69,96,26,12.8,78,0.45,132
2884,24,11,2007,132,118,83,66,97,25,13.3,79,0.36,83
2885,25,11,2007,83,132,73,51,83,20,13,80,0.39,143
2886,26,11,2007,143,83,115,83,107,33,14.6,74,1.61,36
2887,27,11,2007,36,143,22,23,103,11,10.1,38,1.58,50
2888,28,11,2007,50,36,27,34,118,21,9.1,31,1.56,68
2889,29,11,2007,68,50,48,44,105,31,9,70,1.12,110
2890,30,11,2007,110,68,79,63,98,28,10.1,92,,55
